Title,Author,Reviews,Price,Stars
107 Days,Kamala Harris,100,20.98,4
The Let Them Theory,Mel Robbins,27327,15.68,4.5
Alchemised,SenLinYu,52,24.48,4
Poems & Prayers,Matthew McConaughey,29,19.58,4
The Secret of Secrets,Dan Brown,4542,22.8,4.5
"Stop, in the Name of God",Charlie Kirk,N/A,29.99,N/A
Paint by Sticker Kids: Halloween,Workman Publishing,3256,4.96,5
The Leaf Thief,Alice Hemming,3353,6.92,5
Separation of Church and Hate,John Fugelsang,100,26.99,5
The Housemaid,Freida McFadden,548744,12.08,4.5
Forgotten Home Apothecary,Dr. Nicole Apelian,10608,29,4.5
My First Learn-to-Write Workbook,Crystal Radke,86673,5.26,5
Strong Ground,Brene Brown,4,21,4
The Bible in 52 Weeks,Dr. Kimberly D. Moore,29541,7.85,4.5
Awake: A Memoir,Jen Hatmaker,106,20.98,5
Spooky Cutie,Coco Wyo,5273,9.99,5
Jump and Find Joy,Hoda Kotb,N/A,20.98,N/A
Paint by Sticker Kids: Pets,Workman Publishing,862,4.47,5
Paint by Sticker Kids: Christmas,Workman Publishing,7291,4.35,5
I Love You to the Moon and Back,Amelia Hepworth,78850,3.97,5
Phoebe Berman's Gonna Lose It,Brooke Averick,N/A,26.04,N/A
Partypooper,Jeff Kinney,N/A,11.19,N/A
The Very Hungry Caterpillar,Eric Carle,77589,5.17,5
The Psychology of Money,Morgan Housel,65204,10.99,4.5
How to Catch a Witch,Alice Walstead,2398,4.72,4.5
Confronting Evil,Bill O'Reilly,249,22.38,4.5
Circle of Days,Ken Follett,21,35,4
Atomic Habits,James Clear,134293,15.39,5
"Softly, As I Leave You",Priscilla Presley,10,22.38,4.5
Chicka Chicka Boom Boom,Bill Martin Jr.,40800,3.87,5
Bluey: Little Library 4-Book Box Set,Penguin Young Readers Licenses,5897,6.51,4.5
Pagan Threat,Lucas Miles,77,27.99,3
"Dinosaur, Dinosaur, Say Good Night",Tiger Tales,4235,3.24,5
Around the Farm 30-Button Animal Sound Book,PI Kids,25517,11.99,5
Regretting You,Colleen Hoover,215476,12.95,4.5
School Zone Multiplication 0-12 Flash Cards,School Zone,29907,3.18,4.5
The Beginner's Bible,The Beginner's Bible,27222,8.5,5
"KJV Holy Bible, Giant Print",Holman Bible Publishers,2159,19.8,5
Black AF History,Michael Harriot,2192,20.24,5
The Little Ghost Who Was a Quilt,Riel Nason,2222,7.21,5
How To Draw Everything,Emma Greene,4741,10.9,4.5
Scholastic Flash Cards: Sight Words,N/A,31962,3.07,5
The Anxious Generation,Jonathan Haidt,10006,16.98,4.5
My First Library,Wonder House Books,85782,14.99,4.5
The Rainbow Fish,Marcus Pfister,7582,4.68,5
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,55120,4.33,5
The Body Keeps the Score,Bessel van der Kolk M.D.,81026,15.5,5
KBBYT The Bible In A Year,N/A,83,27.99,4.5
Time for a Turning Point: Setting a Course Toward Free Markets and Limited Government for Future Generations,Charlie Kirk,195,19,4.5
Fahrenheit 451,Ray Bradbury,56974,9.05,4.5
